county,tracts,rad14,rad24,pop,change
Mecklenburg County,305,25.52,26.63,1154681,1.11
Cabarrus County,47,11.25,11.89,236133,0.64
York County,55,10.2,11.55,293673,1.35
Gaston County,85,10.87,10.58,234881,-0.29
Catawba County,34,8.18,8.7,163573,0.52
Iredell County,46,6.78,8.41,196544,1.63
Union County,48,6.71,8.28,250958,1.57
Rowan County,31,6.8,6.59,149875,-0.21
Lancaster County,22,4.85,6.09,104475,1.24
Cleveland County,24,5.59,4.93,100991,-0.66
Lincoln County,18,4.29,4.72,92716,0.43
Stanly County,17,3.28,3.34,64651,0.06
Chester County,11,3.92,3.23,32182,-0.69
Anson County,9,5.29,1.62,22289,-3.67
