geoid,label,county,rad14,rad24,change,income,poverty,poc,density,pop
37119000103,Fourth Ward / Gateway / Uptown,Mecklenburg County,140.4,220,79.6,135533,0,46.5,27967.7,1938
37119000102,Third Ward / Uptown,Mecklenburg County,145.5,219.6,74.1,129693,7.4,38.8,15413.5,2951
37119000104,First Ward / Uptown,Mecklenburg County,161.9,213,51.1,109805,8.2,31.8,8245.3,1948
37119000501,Third Ward / Gateway,Mecklenburg County,97.7,130.1,32.4,81696,14.7,56.3,6058.8,2129
37119000101,Second Ward / Uptown,Mecklenburg County,138.5,167,28.5,106601,13.6,43,5078.2,1280
37119005850,Providence / Blakeney,Mecklenburg County,7.6,28.2,20.7,126730,1.7,30,2212.3,3314
37119002909,Barclay Downs / SouthPark,Mecklenburg County,50.4,68.5,18.1,156250,0.9,20.5,1935.1,1543
37119005921,Shopton area,Mecklenburg County,9.5,26.9,17.4,130313,7.1,65.9,4079.3,3733
37119005930,Steele Creek / Ayrsley,Mecklenburg County,28.3,45.6,17.3,53191,17.6,68.3,1670.2,3300
37119003903,Reid Park / City Park,Mecklenburg County,31.7,47.1,15.4,23235,49.7,97.5,1100.5,2298
37119005840,Ballantyne area,Mecklenburg County,31.3,46.4,15.1,123056,4.7,29.1,2180.5,2192
37119000503,Fourth Ward / First Ward,Mecklenburg County,116,130.3,14.3,72155,17.9,49.2,9135.7,1680
