geoid,county,label,rad14,rad19,rad24,pop,income,poverty,white,black,hisp,asian,density,youth,older,change,pct_change,poc
37007920100,Anson County,Anson County,0.4124,0.3496,0.5553,3187,46198,12.8576,36.9528,52.2234,5.3775,0,31.3574,20.1999,17.5801,0.14290000000000003,34.65082444228905,63.0472
37007920200,Anson County,Anson County,0.2737,0.2401,0.3302,1600,52434,24.0858,61.2232,34.9937,2.9004,0,23.4249,18.7264,30.3279,0.056499999999999995,20.6430398246255,38.7768
37007920301,Anson County,Anson County,0.5982,0.5168,0.6956,4319,58480,16.3593,60.6763,29.1085,6.8811,0.0236,48.4833,19.6027,21.8728,0.09740000000000004,16.2821798729522,39.3237
37007920302,Anson County,The Orchard area,0.736,0.5615,0.4142,590,80179,3.7369,63.0792,29.4469,2.0927,0,18.0485,8.6697,13.0045,-0.3218,-43.72282608695652,36.9208
37007920400,Anson County,Anson County,1.6077,1.3975,1.6415,2335,31610,33.288,28.3062,68.0707,1.1775,0,56.9051,21.2409,22.5996,0.03380000000000005,2.102382285252227,71.6938
37007920501,Anson County,Anson County,0.576,0.5656,0.5278,1097,33509,45.3823,51.142,46.6733,2.1847,0,50.7685,14.6971,17.7756,-0.04819999999999991,-8.368055555555541,48.858
37007920502,Anson County,Anson County,3.185,2.7752,2.9407,4248,44019,20.7102,35.4132,54.98,0,5.6746,307.464,30.5628,18.0598,-0.24429999999999996,-7.670329670329669,64.5868
37007920600,Anson County,Anson County,0.2883,0.2422,0.3794,3507,38438,21.9412,34.2815,51.5249,5.9824,2.4047,21.5491,22.0528,23.607,0.09110000000000001,31.59902878945543,65.7185
37007980000,Anson County,The Orchard area,66.9506,40.5408,8.752,1406,NA,NA,54.0097,40.0365,2.4301,0.9113,2559.534,0,6.6221,-58.19859999999999,-86.92767503203854,45.9903
37025040501,Cabarrus County,West Concord / Tucker Chase,5.2897,4.1786,4.9387,10391,89644,16.5675,35.5199,38.9289,15.3995,1.0969,1531.7732,29.9495,8.3557,-0.351,-6.635536986974686,64.4801
37025040502,Cabarrus County,West Concord area,4.9486,3.7164,4.7461,5848,70483,17.6599,80.0101,10.0118,6.8652,0,460.5158,22.4466,13.7977,-0.20249999999999968,-4.092066443034387,19.989900000000006
37025040600,Cabarrus County,Cabarrus County,1.5428,1.5095,2.1012,6261,79366,3.0957,87.6703,4.8116,3.1842,0.3184,154.9627,12.2236,22.4129,0.5584,36.19393310863366,12.329700000000003
37025040701,Cabarrus County,Jackson Park area,8.6396,9.5929,11.5897,2373,53636,34.8748,48.706,21.8074,26.8137,0.2546,1987.2012,27.7896,13.6614,2.950100000000001,34.146256771146824,51.294
37025040703,Cabarrus County,Car Town / Settlers Ridge / North Concord,28.1057,24.5714,27.4426,2753,39643,24.7616,43.7605,36.3667,4.6504,5.353,1649.0868,28.2703,19.739,-0.6631,-2.359307898397834,56.2395
37025040704,Cabarrus County,Car Town area,14.6771,13.1493,14.7798,3840,59000,16.3714,52.7017,26.4495,18.2828,0.2467,2400.7618,22.1071,17.6659,0.10270000000000046,0.6997295105981458,47.2983
37025040705,Cabarrus County,Jackson Park area,9.3535,8.9834,9.4623,4258,74139,11.7459,37.4334,42.5709,17.459,2.5155,2526.1902,17.0539,13.4513,0.10880000000000045,1.1632009408242951,62.5666
37025040800,Cabarrus County,Car Town / Jackson Park,23.6652,20.1024,20.686,4002,51290,14.9712,53.6182,30.388,11.2218,0,2698.4599,22.732,16.0986,-2.9791999999999987,-12.588949174315022,46.3818
37025040900,Cabarrus County,Settlers Ridge / North Concord / Car Town,21.7211,19.6213,17.0876,2116,59180,9.1761,70.6463,20.8683,3.3054,0,1796.7961,19.2896,29.8964,-4.6335000000000015,-21.331792588773133,29.353700000000003
37025041001,Cabarrus County,Settlers Ridge / Car Town / Kellswater Bridge,8.4509,7.4776,6.8128,2966,71298,6.4232,69.8573,15.869,3.3165,0,1526.3137,14.1898,16.2049,-1.6381000000000006,-19.383734276822594,30.142700000000005
37025041002,Cabarrus County,Car Town area,19.8062,15.4528,15.8052,3296,49485,17.2621,49.6873,32.6038,12.7345,0,2557.957,25.5259,9.7783,-4.001000000000001,-20.20074522119337,50.3127
37025041100,Cabarrus County,Settlers Ridge / North Concord / Kellswater Bridge,7.9292,7.9466,7.8227,7254,79712,5.7539,67.3235,16.4246,14.5549,0.1438,1871.493,25.0396,11.6065,-0.1064999999999996,-1.3431367603289057,32.676500000000004
37025041201,Cabarrus County,Kellswater Bridge area,2.2746,2.8983,3.0759,2836,53775,15.5578,74.275,17.4684,3.2412,3.5824,290.1533,9.6554,22.245,0.8012999999999999,35.2281719862833,25.724999999999994
37025041202,Cabarrus County,Kellswater Bridge area,8.8517,9.532,11.1491,8281,90887,6.4982,67.436,18.5966,4.8959,2.6814,910.7917,24.4931,19.4104,2.2974000000000014,25.95433645514423,32.56399999999999
37025041301,Cabarrus County,Moss Creek / Hopewell,2.1722,2.7895,3.401,8645,133876,1.5528,56.4011,8.8193,12.7549,7.551,600.0566,27.4656,15.3035,1.2287999999999997,56.56937666881501,43.5989
37025041304,Cabarrus County,Moss Creek area,9.0704,10.6284,10.9987,8030,134567,6.422,58.7871,11.4143,8.3403,16.2993,3705.1568,33.4207,5.4569,1.9283000000000001,21.25926089257365,41.2129
37025041305,Cabarrus County,Cox Mill / Moss Creek,5.7622,8.5114,8.8226,2656,123661,4.3478,70.9504,7.6953,5.3867,15.5829,456.7912,21.3928,14.7364,3.0603999999999996,53.111658741452914,29.049599999999998
37025041306,Cabarrus County,Cox Mill / Concord Mills,16.2931,19.4232,23.4002,6760,118846,3.8318,34.9991,19.3912,0.5279,40.6651,1114.948,29.4739,5.3845,7.107100000000003,43.62030552810701,65.0009
37025041307,Cabarrus County,Cox Mill area,12.1775,13.2336,13.4291,8146,188052,1.3774,51.6821,16.8333,15.2487,11.2872,4250.8019,36.4213,4.315,1.2515999999999998,10.277971669061793,48.3179
37025041503,Cabarrus County,Camellia Gardens / West Concord,3.1876,3.4958,4.6551,6366,112572,1.7149,54.8615,29.7671,6.0573,7.2215,768.398,28.2096,7.5991,1.4674999999999998,46.03777136403563,45.1385
37025041504,Cabarrus County,Camellia Gardens / Downtown,7.2423,7.8193,8.8702,3934,143527,3.2366,53.07,10.2332,13.9219,8.5911,652.4519,20.3237,9.6145,1.6279000000000003,22.47766593485495,46.93
37025041505,Cabarrus County,Camellia Gardens area,10.0828,12.6212,15.58,8280,151343,3.1431,56.941,10.3808,10.8231,17.199,1780.2886,33.8575,9.8526,5.497199999999999,54.52056968302455,43.059
37025041506,Cabarrus County,Camellia Gardens / Reedy Creek,3.7323,4.3437,6.2837,5951,130000,9.0939,58.1005,23.6693,3.0772,7.2522,986.2347,25.2994,15.7518,2.5513999999999997,68.35999249792353,41.8995
37025041507,Cabarrus County,Camellia Gardens area,1.8442,2.2187,3.0338,4814,153000,6.32,69.8438,0,10.5134,11.3839,580.4229,26.3616,9.0625,1.1895999999999998,64.5049343888949,30.1562
37025041602,Cabarrus County,Cabarrus County,1.0512,0.9984,1.3494,4021,73977,16.199,76.0894,4.7228,11.6587,4.9053,180.4767,27.9033,19.1421,0.2982,28.3675799086758,23.910600000000002
37025041603,Cabarrus County,Bethel Glen / Saddlebrook,1.7716,2.2568,2.9264,5231,89114,5.7465,63.831,12.2441,13.3146,6.8357,226.4243,23.0986,10.9108,1.1548,65.18401445021449,36.169
37025041604,Cabarrus County,Tucker Chase / Bethel Glen,1.2943,1.2526,1.7269,4909,122019,6.3032,92.5103,1.7636,3.7448,1.4152,150.0008,22.0335,16.3727,0.4326000000000001,33.42347214710655,7.489699999999999
37025041701,Cabarrus County,Cabarrus County,1.1332,1.1637,1.4342,4393,80515,4.8243,82.992,12.5745,3.1631,0.726,155.8073,16.7228,22.323,0.30099999999999993,26.561948464525234,17.007999999999996
37025041702,Cabarrus County,Cabarrus County,0.6882,0.6958,0.9003,3441,78333,14.2402,90.411,1.3699,1.6247,4.7467,86.4122,16.2154,14.9411,0.21209999999999996,30.81952920662597,9.588999999999999
37025041901,Cabarrus County,West Concord / North Concord,29.0538,23.1139,28.04,2717,43824,28.2866,27.3065,29.0301,31.8013,0.0338,1749.65,32.7813,10.7131,-1.0137999999999998,-3.4893886513984396,72.6935
37025041902,Cabarrus County,West Concord / North Concord,31.0765,22.518,24.1724,3862,58005,15.4742,45.2459,19.2623,30.1639,0.0546,3435.9426,22.8689,13.0328,-6.9041,-22.216465818222773,54.7541
37025042000,Cabarrus County,West Concord area,14.3485,11.9259,16.1649,6879,66675,12.3,58.3559,12.9931,22.8997,2.8756,1062.096,28.922,10.8401,1.8163999999999998,12.659162978708576,41.6441
37025042101,Cabarrus County,West Concord area,23.0835,16.9529,17.2684,3847,46742,13.1102,10.4547,42.5237,45.344,0,2716.2192,26.8174,9.2633,-5.815100000000001,-25.191587064353328,89.5453
37025042102,Cabarrus County,West Concord area,14.1295,11.1542,12.1996,3713,53682,14.8276,57.928,13.7523,25.2169,0,2525.1404000000002,25.7428,18.3276,-1.9299,-13.658657418875404,42.072
37025042201,Cabarrus County,West Concord area,17.3107,11.9196,17.319,3077,76591,10.9235,69.9768,21.8471,6.852,0.3972,1386.7711,22.6746,10.5263,0.00829999999999842,0.047947223393614465,30.023200000000003
37025042202,Cabarrus County,West Concord area,9.6026,8.0457,9.7173,4190,95714,3.8394,79.3594,12.3167,4.5793,0,1393.3251,20.8211,11.4821,0.11469999999999914,1.1944681648720048,20.640600000000006
37025042300,Cabarrus County,West Concord / North Concord,17.9016,14.3869,16.2667,5731,58554,8.1505,64.861,12.2704,18.9119,0,2720.86,18.2996,24.3994,-1.6348999999999982,-9.132703222058355,35.138999999999996
37025042401,Cabarrus County,North Concord area,22.4776,18.0836,21.1385,4131,135090,3.328,68.4046,20.094,7.7198,0.2685,952.5612,20.7429,19.8926,-1.3390999999999984,-5.957486564401887,31.595399999999998
37025042402,Cabarrus County,North Concord area,21.5953,16.9254,17.7594,5763,39296,16.9129,24.1052,36.6243,34.7243,0.3053,2830.3836,36.2171,9.3639,-3.8359000000000023,-17.762661319824232,75.8948
37025042501,Cabarrus County,North Concord / Kellswater Bridge,18.1719,20.5273,21.7217,4994,96780,8.7946,70.4133,10.059,8.747,7.6755,1174.8045,25.5194,14.2795,3.5497999999999976,19.53455610035273,29.586699999999993
37025042502,Cabarrus County,North Concord / West Concord,22.0996,16.2085,17.8803,3181,51671,24.8621,49.7514,19.8864,28.4091,0.2131,2396.7251,22.3011,19.4247,-4.2193000000000005,-19.092200763814734,50.2486
