geoid,label,county,canopy15,canopy23,change,income,newhomes,density
37119005625,Reedy Creek area,Mecklenburg County,36.96,43.95,6.99,110938.0,5.91,3723.72
37119005856,The Traditions at Covington / The Villas at Covington,Mecklenburg County,28.28,34.97,6.69,120847.0,41.77,6919.03
37119005516,Cox Mill area,Mecklenburg County,25.68,31.94,6.26,117250.0,0.75,3868.06
37119005527,Mallard area,Mecklenburg County,46.74,52.88,6.15,80597.0,21.11,3770.79
37119006308,Caldwell / Rosedale / Birkdale,Mecklenburg County,32.34,38.42,6.08,101515.0,36.85,3245.96
37119005861,Blakeney area,Mecklenburg County,25.88,31.79,5.91,84803.0,1.03,4258.56
37119005522,Mallard / Lynn Lee,Mecklenburg County,37.11,42.97,5.86,89926.0,5.19,6046.14
37119005612,Reedy Creek / University City / Newell,Mecklenburg County,30.59,36.44,5.85,85068.0,13.25,3654.55
37119005528,Mallard area,Mecklenburg County,47.18,53.0,5.82,79419.0,8.13,3548.1
37119005624,Camellia Gardens / Reedy Creek / Downtown,Mecklenburg County,21.8,27.56,5.76,91538.0,45.57,2606.44
