geoid,label,county,canopy15,canopy23,change,income,newhomes,density
37071031303,Westside area,Gaston County,38.24,24.68,-13.55,51338.0,9.41,884.63
37119005617,Embassy East / Reedy Creek,Mecklenburg County,61.98,49.61,-12.37,74875.0,34.38,1826.55
37071032403,Lakewood area,Gaston County,57.48,45.62,-11.86,85966.0,19.54,1236.48
37119005850,Providence / Blakeney,Mecklenburg County,60.07,49.72,-10.35,126730.0,78.76,1976.01
45057011210,Walnut Creek / Bent Creek,Lancaster County,45.52,35.23,-10.29,94261.0,85.11,1908.87
37119005926,The Sanctuary / North Rock Hill,Mecklenburg County,48.91,38.95,-9.96,177708.0,72.2,1350.14
45091060901,East Rock Hill / Seven Oaks,York County,35.58,26.35,-9.22,65786.0,48.42,1114.35
45057011206,Fox Ridge / Avondale,Lancaster County,49.79,40.6,-9.19,108769.0,40.51,564.21
37119005928,Shopton / City Park,Mecklenburg County,55.51,46.34,-9.17,79000.0,13.42,373.97
37119005930,Steele Creek / Ayrsley,Mecklenburg County,26.84,18.02,-8.82,53191.0,7.26,1567.96
45057011203,Bretagne / Wakefield / The Traditions at Covington,Lancaster County,52.49,43.83,-8.66,221923.0,76.59,948.76
37119005918,Steele Creek area,Mecklenburg County,39.25,30.7,-8.54,124198.0,44.13,3784.53
45057011204,Rosemont / Avondale,Lancaster County,47.84,39.37,-8.47,153240.0,55.49,1643.36
37119005533,University City / Mallard,Mecklenburg County,46.79,38.72,-8.07,61279.0,50.57,483.67
45091060402,South Rock Hill area,York County,50.94,42.99,-7.95,81138.0,41.27,1806.56
